domain,has_caa,issue_count,issuewild_count,iodef_count,ca_list
"grong-sparebank.no","true",6,5,0,"buypass.no;globalsign.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"helsesmart.no","true",0,1,0,"globalsign.com"
"hsbank.no","true",3,2,0,"buypass.no;globalsign.com;sectigo.com"
"hygglo.no","true",1,0,0,"letsencrypt.org"
"jaerensparebank.no","true",3,2,0,"buypass.no;globalsign.com;sectigo.com"
"lillestrom.kommune.no","true",7,0,0,"amazon.com;buypass.com;buypass.no;digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"lensway.no","true",2,0,0,"globalsign.com;letsencrypt.org"
"marker-sparebank.no","true",3,2,0,"buypass.no;globalsign.com;sectigo.com"
"melhusbanken.no","true",3,2,0,"buypass.no;globalsign.com;sectigo.com"
"minexperian.no","true",1,1,0,"sectigo.com"
"odal-sparebank.no","true",3,2,0,"buypass.no;globalsign.com;sectigo.com"
"orklasparebank.no","true",3,2,0,"buypass.no;globalsign.com;sectigo.com"
"parfyme-klikk.no","true",1,1,0,"sectigo.com"
"ortorex.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"romsdalsbanken.no","true",3,2,0,"buypass.no;globalsign.com;sectigo.com"
"saseurobonusmastercard.no","true",6,0,2,"amazonaws.com;digicert.com;entrust.net;letsencrypt.org;pki.goog;sectigo.com"
"skien.kommune.no","true",2,2,1,"buypass.com;digicert.com;letsencrypt.org"
"sognbank.no","true",3,2,0,"buypass.no;globalsign.com;sectigo.com"
"travelmarket.no","true",6,5,0,"amazontrust.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"trondelagsparebank.no","true",4,3,0,"buypass.no;digicert.com;globalsign.com;sectigo.com"
"trei.no","true",6,6,0,"amazon.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"vekselbanken.no","true",3,2,0,"buypass.no;globalsign.com;sectigo.com"
"vigobedrift.no","true",0,1,0,"letsencrypt.org"
"workinnorway.no","true",4,2,0,"digicert.com;letsencrypt.org;pki.goog;sectigo.com"
"pin.no","true",1,0,0,"letsencrypt.org"
"resolv.no","true",1,0,1,"letsencrypt.org"
"day.no","true",1,0,0,"letsencrypt.org"
"telenorexpo.no","true",2,1,0,"letsencrypt.org;sectigo.com"
"35.no","true",1,0,0,"letsencrypt.org"
"jernbaneverket.no","true",1,0,1,"buypass.no"
"34.no","true",1,0,0,"letsencrypt.org"
"thi.no","true",1,0,0,"letsencrypt.org"
"boostcom.no","true",1,0,0,"letsencrypt.org"
"weleda.no","true",2,0,0,"digicert.com;letsencrypt.org"
"stihl.no","true",1,1,1,"entrust.net"
"ebay.no","true",2,0,1,"comodoca.com;symantec.com"
"2024.no","true",1,0,0,"letsencrypt.org"
"salmar.no","true",3,0,1,"letsencrypt.org;pki.goog;www.digicert.com"
"ipublish.no","true",1,0,0,"letsencrypt.org"
"pro.no","true",1,0,0,"letsencrypt.org"
"inspera.no","true",3,0,1,"amazon.com;letsencrypt.org;ssl.com"
"200.no","true",1,0,0,"letsencrypt.org"
"forskerforum.no","true",1,1,0,"letsencrypt.org"
"prisguiden.no","true",2,0,0,"amazon.com;letsencrypt.org"
"kreftregisteret.no","true",4,4,1,"buypass.com;commfies.com;digicert.com;sectigo.com"
"fig.ol.no","true",1,0,1,"letsencrypt.org"
"gob.no","true",1,0,0,"letsencrypt.org"
"ala.no","true",1,0,0,"letsencrypt.org"
"teleplanglobe.no","true",3,0,0,"comodoca.com;digicert.com;letsencrypt.org"
"webmed.no","true",2,0,0,"buypass.no;letsencrypt.org"
"has.no","true",1,0,0,"letsencrypt.org"
"dds.no","true",2,0,0,"letsencrypt.org;pki.goog"
"alstadheim.no","true",1,1,1,"letsencrypt.org"
"radio.no","true",3,0,0,"comodoca.com;letsencrypt.org;thawte.com"
"3cx.no","true",5,6,1,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"nynorsk.no","true",1,0,0,"letsencrypt.org"
"digipostdata.no","true",2,1,1,"buypass.no;letsencrypt.org"
"hihm.no","true",3,0,0,"harica.gr;letsencrypt.org;sectigo.com"
"ver.no","true",1,0,0,"letsencrypt.org"
"landinfo.no","true",3,0,1,"buypass.com;geotrust.com;letsencrypt.org"
"brd.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"capitech.no","true",4,0,0,"lencr.org;letsencrypt.org;pki.goog;r3.i.lencr.org"
"cocks.no","true",8,5,1,"actalis.it;buypass.no;comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"elproffen.no","true",2,3,0,"digicert.com;globalsign.com;letsencrypt.org"
"enkeleksamen.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"hoydedata.no","true",1,1,0,"digicert.com"
"kjellmannhome.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"kommunetv.no","true",1,0,0,"sectigo.com"
"planiasky.no","true",0,1,0,"comodoca.com"
"think.no","true",1,0,0,"letsencrypt.org"
"hil.no","true",2,0,0,"harica.gr;sectigo.com"
"mailflow.no","true",1,0,1,"digicert.com"
"des.no","true",1,0,1,"letsencrypt.org"
