domain,has_caa,issue_count,issuewild_count,iodef_count,ca_list
"plex.tv","true",4,2,1,"amazon.com;digicert.com;letsencrypt.org;pki.goog"
"examinationservices.nic.in","true",2,0,0,"comodoca.com;letsencrypt.org"
"truste.com","true",3,0,0,"amazontrust.com;godaddy.com;letsencrypt.org"
"here.com","true",3,0,1,"amazon.com;digicert.com;globalsign.com"
"mparticle.com","true",5,3,1,"amazon.com;digicert.com;globalsign.com;godaddy.com;letsencrypt.org"
"si.edu","true",5,0,0,"digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"typekit.com","true",1,0,1,"digicert.com"
"bing.net","true",3,0,0,"digicert.com;globalsign.com;microsoft.com"
"mercadolibre.com","true",2,0,1,"amazon.com;digicert.com"
"boursorama.com","true",3,0,0,"digicert.com;infocert.it;letsencrypt.org"
"pnas.org","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"iubenda.com","true",10,9,1,"akamai.com;amazon.com;amazonaws.com;amazontrust.com;awstrust.com;digicert.com;freshdesk.com;letsencrypt.org;pki.goog;sectigo.com"
"mindbox.ru","true",4,0,0,"amazon.com;globalsign.com;godaddy.com;letsencrypt.org"
"opera.technology","true",2,0,1,"digicert.com;letsencrypt.org"
"id.me","true",4,4,0,"amazon.com;digicert.com;letsencrypt.org;pki.goog"
"myinstants.com","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"umeng.com","true",1,0,0,"globalsign.com"
"mozilla.net","true",6,0,1,"amazon.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com"
"loopme.me","true",4,0,1,"digicert.com;letsencrypt.org;pki.goog;sectigo.com"
"automattic.com","true",1,0,0,"letsencrypt.org"
"tailscale.com","true",7,1,0,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;comodoca.com;digicert.com;letsencrypt.org"
"vtb.ru","true",2,1,0,"globalsign.com;letsencrypt.org"
